PLAYER_ID,SEASON,VOTE_POINTS,VOTE_FIRST
252,1996-97,986,63
893,1996-97,957,52
255,1996-97,376,0
896,1996-97,238,0
203318,1996-97,134,0
56,1996-97,105,0
165,1996-97,95,0
201607,1996-97,57,0
193,1996-97,7,0
406,1996-97,7,0
937,1996-97,6,0
297,1996-97,5,0
87,1996-97,4,0
782,1996-97,4,0
304,1996-97,3,0
787,1996-97,2,0
339,1996-97,1,0
947,1996-97,1,0
134,1996-97,1,0
893,1997-98,1084,92
252,1997-98,842,20
56,1997-98,431,3
406,1997-98,311,1
1495,1997-98,148,0
896,1997-98,71,0
764,1997-98,36,0
452,1997-98,24,0
255,1997-98,23,0
937,1997-98,14,0
203318,1997-98,7,0
952,1997-98,6,0
467,1997-98,5,0
304,1997-98,5,0
782,1997-98,3,0
397,1997-98,2,0
22,1997-98,2,0
714,1997-98,1,0
393,1997-98,1,0
252,1998-99,827,44
297,1998-99,773,36
1495,1998-99,740,30
947,1998-99,319,5
467,1998-99,159,2
406,1998-99,89,1
185,1998-99,51,0
255,1998-99,39,0
56,1998-99,35,0
708,1998-99,9,0
431,1998-99,7,0
764,1998-99,6,0
165,1998-99,3,0
717,1998-99,3,0
353,1998-99,2,0
1713,1998-99,1,0
358,1998-99,1,0
349,1998-99,1,0
299,1998-99,1,0
739,1998-99,1,0
406,1999-00,1207,120
708,1999-00,408,0
297,1999-00,367,0
252,1999-00,312,0
1495,1999-00,248,0
56,1999-00,180,0
947,1999-00,132,1
255,1999-00,113,0
185,1999-00,96,0
1713,1999-00,51,0
467,1999-00,25,0
977,1999-00,3,0
353,1999-00,1,0
714,1999-00,1,0
397,1999-00,1,0
147,1999-00,1,0
947,2000-01,1121,93
1495,2000-01,706,18
406,2000-01,578,7
185,2000-01,521,5
708,2000-01,151,1
1503,2000-01,64,0
252,2000-01,21,0
467,2000-01,18,0
977,2000-01,11,0
764,2000-01,8,0
951,2000-01,7,0
1713,2000-01,7,0
1718,2000-01,5,0
711,2000-01,3,0
714,2000-01,1,0
193,2000-01,1,0
304,2000-01,1,0
1495,2001-02,954,57
467,2001-02,897,45
406,2001-02,696,15
1503,2001-02,390,7
977,2001-02,98,1
56,2001-02,54,1
185,2001-02,37,0
1717,2001-02,31,0
947,2001-02,29,0
1112,2001-02,24,0
1718,2001-02,22,0
708,2001-02,17,0
893,2001-02,16,0
959,2001-02,5,0
711,2001-02,3,0
1710,2001-02,1,0
1882,2001-02,1,0
1495,2002-03,962,60
708,2002-03,871,43
977,2002-03,496,8
1503,2002-03,427,4
406,2002-03,126,3
947,2002-03,83,0
1717,2002-03,43,0
1112,2002-03,33,1
467,2002-03,31,0
185,2002-03,19,0
469,2002-03,1,0
959,2002-03,1,0
1718,2002-03,1,0
708,2003-04,1219,120
1495,2003-04,716,0
979,2003-04,523,2
977,2003-04,212,0
406,2003-04,178,0
1112,2003-04,24,0
467,2003-04,17,0
2544,2003-04,11,0
208,2003-04,4,0
1884,2003-04,4,0
1717,2003-04,4,0
1905,2003-04,2,0
2546,2003-04,1,0
2397,2003-04,1,0
2072,2003-04,1,0
959,2004-05,1066,65
406,2004-05,1032,58
1717,2004-05,349,0
1495,2004-05,328,1
947,2004-05,240,2
2544,2004-05,93,0
1503,2004-05,44,0
2548,2004-05,43,0
2405,2004-05,41,1
951,2004-05,41,0
708,2004-05,15,0
2240,2004-05,4,0
1713,2004-05,3,0
136,2004-05,1,0
948,2004-05,1,0
1890,2004-05,1,0
959,2005-06,924,57
2544,2005-06,688,16
1717,2005-06,544,14
977,2005-06,483,22
1497,2005-06,430,15
2548,2005-06,87,0
1882,2005-06,50,1
1495,2005-06,33,0
2225,2005-06,9,0
947,2005-06,1,0
1890,2005-06,1,0
1717,2006-07,1138,83
959,2006-07,1013,44
977,2006-07,521,2
1495,2006-07,286,0
2544,2006-07,183,0
1503,2006-07,110,0
2547,2006-07,43,0
2240,2006-07,31,0
2430,2006-07,7,0
708,2006-07,7,0
1497,2006-07,4,0
406,2006-07,3,0
2548,2006-07,3,0
2405,2006-07,2,0
2546,2006-07,1,0
1884,2006-07,1,0
2225,2006-07,1,0
977,2007-08,1100,82
101108,2007-08,894,28
708,2007-08,670,15
2544,2007-08,438,1
2730,2007-08,60,0
2405,2007-08,27,0
1495,2007-08,25,0
1503,2007-08,19,0
959,2007-08,18,0
1717,2007-08,5,0
101114,2007-08,4,0
2546,2007-08,3,0
2430,2007-08,1,0
1712,2007-08,1,0
1718,2007-08,1,0
739,2007-08,1,0
2544,2008-09,1172,109
977,2008-09,698,2
2548,2008-09,680,7
2730,2008-09,328,1
101108,2008-09,192,2
1497,2008-09,33,0
1718,2008-09,21,0
2225,2008-09,9,0
200750,2008-09,7,0
1717,2008-09,3,0
1495,2008-09,2,0
2397,2008-09,1,0
2544,2009-10,1205,116
201142,2009-10,609,4
977,2009-10,599,0
2730,2009-10,478,3
2548,2009-10,119,0
2546,2009-10,65,0
1717,2009-10,55,0
959,2009-10,49,0
101114,2009-10,7,0
2405,2009-10,5,0
1497,2009-10,1,0
2547,2009-10,1,0
1536,2009-10,1,0
2207,2009-10,1,0
201565,2010-11,1182,113
2730,2010-11,643,3
2544,2010-11,522,4
977,2010-11,428,1
201142,2010-11,190,0
1717,2010-11,113,0
2548,2010-11,24,0
2405,2010-11,9,0
201933,2010-11,5,0
200765,2010-11,5,0
2225,2010-11,3,0
101108,2010-11,2,0
2544,2011-12,1074,85
201142,2011-12,889,24
101108,2011-12,385,6
977,2011-12,352,2
2225,2011-12,331,4
201567,2011-12,58,0
2730,2011-12,13,0
200765,2011-12,12,0
959,2011-12,7,0
2548,2011-12,6,0
201565,2011-12,5,0
1717,2011-12,4,0
201566,2011-12,4,0
1495,2011-12,3,0
2207,2011-12,1,0
2544,2012-13,1207,120
201142,2012-13,765,0
2546,2012-13,475,1
101108,2012-13,289,0
977,2012-13,184,0
2225,2012-13,86,0
1495,2012-13,65,0
201935,2012-13,33,0
201566,2012-13,9,0
2548,2012-13,5,0
201939,2012-13,3,0
708,2012-13,1,0
201188,2012-13,1,0
201951,2012-13,1,0
101135,2012-13,1,0
201149,2012-13,1,0
201142,2013-14,1232,119
2544,2013-14,891,6
201933,2013-14,434,0
201149,2013-14,322,0
201935,2013-14,85,0
201939,2013-14,66,0
101108,2013-14,45,0
2744,2013-14,34,0
202331,2013-14,33,0
200746,2013-14,26,0
201567,2013-14,25,0
1495,2013-14,21,0
2225,2013-14,21,0
1717,2013-14,7,0
2546,2013-14,4,0
201144,2013-14,1,0
201939,2014-15,1198,100
201935,2014-15,936,25
2544,2014-15,552,5
201566,2014-15,352,0
203076,2014-15,203,0
101108,2014-15,124,0
200746,2014-15,6,0
201188,2014-15,3,0
201933,2014-15,3,0
1495,2014-15,1,0
202695,2014-15,1,0
202691,2014-15,1,0
201939,2015-16,1310,131
202695,2015-16,634,0
2544,2015-16,631,0
201566,2015-16,486,0
201142,2015-16,147,0
101108,2015-16,107,0
203110,2015-16,50,0
203081,2015-16,26,0
201935,2015-16,9,0
200768,2015-16,6,0
201566,2016-17,888,69
201935,2016-17,753,22
202695,2016-17,500,9
2544,2016-17,333,1
202738,2016-17,81,0
201939,2016-17,52,0
203507,2016-17,7,0
202322,2016-17,7,0
203076,2016-17,2,0
201142,2016-17,2,0
201942,2016-17,1,0
201935,2017-18,965,86
2544,2017-18,738,15
203076,2017-18,445,0
203081,2017-18,207,0
201566,2017-18,76,0
203507,2017-18,75,0
201142,2017-18,66,0
201942,2017-18,32,0
200746,2017-18,6,0
201939,2017-18,5,0
203954,2017-18,4,0
203506,2017-18,2,0
203507,2018-19,941,78
201935,2018-19,776,23
202331,2018-19,356,0
201939,2018-19,175,0
203081,2018-19,69,0
203954,2018-19,49,0
201142,2018-19,25,0
202695,2018-19,13,0
201566,2018-19,8,0
203497,2018-19,1,0
2544,2018-19,1,0
203507,2019-20,962,85
2544,2019-20,753,16
201935,2019-20,367,0
202695,2019-20,168,0
203076,2019-20,82,0
101108,2019-20,26,0
203081,2019-20,23,0
1627783,2019-20,17,0
1628369,2019-20,1,0
203954,2020-21,586,1
201939,2020-21,453,5
203507,2020-21,348,1
101108,2020-21,139,2
203081,2020-21,38,0
203944,2020-21,20,0
201565,2020-21,10,1
203497,2020-21,8,0
201566,2020-21,5,0
1627732,2020-21,3,0
201935,2020-21,1,0
2544,2020-21,1,0
202695,2020-21,1,0
203954,2021-22,706,26
203507,2021-22,595,9
1626164,2021-22,216,0
1628369,2021-22,43,0
1629630,2021-22,10,0
201939,2021-22,4,0
101108,2021-22,2,0
201942,2021-22,1,0
201142,2021-22,1,0
2544,2021-22,1,0
203954,2022-23,915,73
203507,2022-23,606,12
1628369,2022-23,280,0
1628983,2022-23,46,0
1628378,2022-23,30,0
1627734,2022-23,27,0
201939,2022-23,5,0
1628368,2022-23,2,0
1628973,2022-23,1,0
1629630,2022-23,1,0
1628983,2023-24,640,15
203507,2023-24,192,1
1628973,2023-24,142,0
1628369,2023-24,86,0
1630162,2023-24,18,0
1627734,2023-24,3,0
201142,2023-24,1,0
